Block,W,gamma
1,2612103759134401119305319182648255031182247178743770972491,1018339390971434300147009229416367753389434042817757245213
2,1047511113706262598940787610999307665935515403222813488851,1782160209255177967695368319123800631189292075212887773367
3,1387004511181073287515494975710583747558707032969328325349,1612294796971588628476500960497352948995169797373026896262
4,2340332253379929892018363585485751056334391971299440785065,3405677836525134520866725275454686168442717627310277579403
5,1144838933424998547853629173342575173195068509312938674592,3326112142165955672955603380490090156111755067470350026972
6,903169353242438595570820008298313077080528288143285534929,628665284717046782518932115889504742482886501528693557694
7,42218688209653830493372811022707150336425186277386089355,1505574957530508405273079913054741865930595776496457804375
8,1754602249009275960230089849824904197512838516060551786921,232731031410840992595867490825005055626796652385842400954
9,1232154812246279863575197964242034478450830820354727895746,3327832175091883562144861689182991667791404938883051479113
10,2116311871578204206877114496524930611923959818366212973878,65246082764701631796421978423552977839112678913882453900
11,2055056735779247996684949692320157915749645116045020811841,2123500290848884071311597393987609985398296274676260808285
12,1767683447631280311976011361307873078112172596111749185682,2317379705215276354126401239654795444878595280075642916530
13,1589486171469360140178843193483630042813199795505883909718,2311777536994979022569797834432810521929512152238082718199
14,1386017432037422754347709442179062756084260268808004411991,1979065236944799782291885008214748213599181414371286214817
15,3146870354175463285175369609387477923202068606766693087932,2581141329502741604435513447104419214225751162376386483387
16,2317665193988610274851418132771230402403108215851639550436,3013288188923443410923676441457385933739246416910378853699
17,326018555017656969835419386295854893867910628169945605126,2543817848934746353220250739010395926886358865869373280800
18,1056432628183423617209411402473039538007430401373535004158,2023165153243126387480408338203936858964224198337988580008
19,678606027464959987095312788519625266213168202896779989599,1356706846356588734298309050033026957150794823524572108091
20,1176790853953155956155243937300372649833344033328390981354,1600887016919355156215469203374487392016411887773250320424
21,1413892815027675815568079114756412549303097991419132878362,352208614886264337155933203200920873511126471514901844215
22,2656965295268725183311908642450137403050678660515569293233,59553076933820529168520499409571070294629339778894806268
23,3241239493137121033304604709559098580348802872221328809900,2101246996383827073675235189611988072947314801433952986712
24,902994334531580816248427154224867702795991510651794238673,2837899333166982347042566950389054014383124880277283828985
25,2255403992154385850745739451775287267825542647097957339728,3363345246838824289493568809266100584171069619835034796597
26,459541964334391588370198303633054050004437896099032948408,644876232648633619902694077395729645283582733807735962111
27,516293524788592722011954891999025152280765409441345507217,1610694353972592970794456570313943984394169414086358788147
28,1032896604085636103091161065858412956687730411795574454824,1109105343177777884326029051192028846112460819686633374164
29,2179697039623688498734071267961711781570080363588984009449,135288450888029212494180343121889307495826303837705017603
30,2873934684190477673367316550324810089075944295262044293703,3309842599386510426462590456548021381641609295540904210648
31,2788266649667269937842816691416130336747942729304731393192,1918467025913800372736608054713408856862362517353157093057
32,45575583950723291907077082316122135337803381437883063665,3344268656377563886072452827585195283927078249539211281856
33,902854330898588657107001632926162223485121378078296567753,334544992980202161783356302152497717662293315709916240932
34,595556366789100035455974661743300020797593931923926103952,2106146938681862203649937289110232488337077426169371115934
35,3050966009027563541364239307268669041245845347401059835685,2312712739451852360432059581438120851442671780925091398379
36,1967564017005222090778829610752804066682364043537008463396,850491705550683855338557810078677889269666898440750668136
37,3164145479216407706877114535521535954173409851986900754051,1169048004534973119450679201459327901098582289456377638709
38,690093081314830338403387935413424827720526370793302095362,1611049188380665148331251407338639639962262109945329214532
39,737290054582976440188302635661446150667570637743386727668,2436061673003158720433512110372704203597784445920254292702
40,412461355701308801289398343100971504282880392637576754421,351542553233535753588746875238169901568685813305432789266
41,2061197373388448297258686412338918766462822952844900012409,1049789236332276008695715966551722501721946864339385959479
42,621766345157266314236674813930597343853612702259496531945,3428723728363826182935186403698611483235645355632178602099
43,2934937246582387032804420636479110714116083718593778216052,2926339802491081917817738517050806176831650308628177816064
44,3026115420319905455721626536287996409718048366144205802,1851272437826081883235578787943134338876096580713681344457
45,3429523732021382190420120522462878350709704771489043729447,269560522020706850076192394145066684517212385091644810932
46,2729542749639767498708278312184102518875071496347451640285,44522475942071317933877320572043737335572051413688250105
47,2043528870287794667228216796091546900668486799369150150484,2954596764876294861070268606832204022562913022405213206778
48,1788733876223121636898911382203250367191423554409711812894,1919302983892706796741882345942775673266451196245083648093
49,2297371288318776971935181821609571158014674297359008503973,434851984349214088162022030699809426746124682143646211678
50,1644013151260450152315006580298242546200739870843988599233,900235364509151772322258113847724341183831200777149616682
51,2338205362993818450619013236476184224864434305830526795544,993262992523853404000684598561056221905337213738329816468
52,1377436434212022001189360863669333030077174497615603010932,1572010462783985780018392369901454083759408992849470870527
53,3099206494486373392896587252772970771030015612625012061649,436735254615047853465469002255981293172806861073558069503
