"Metric,Basic,Enhanced,Algebraic"
"Security parameter,128,128,128"
"Block size (bytes),256,256,256"
"Key generation time (ms),247.43,247.43,3.58"
"Avg time per block (ms),0.064,0.1194,0.7323"
"CSP proof gen time (ms),0.0521,0.0677,0.2429"
"TPA verification time (ms),0.022,0.0311,0.2928"
"Schnorr tag size (bytes),35,35,16"
"Block size (bytes),512,512,512"
"Key generation time (ms),247.43,247.43,3.58"
"Avg time per block (ms),0.0903,0.1894,1.4625"
"CSP proof gen time (ms),0.101,0.1134,0.5018"
"TPA verification time (ms),0.0315,0.03,0.5444"
"tag size (bytes),35,35,16"
"Block size (bytes),1024,1024,1024"
"Key generation time (ms),247.43,247.43,3.58"
"Avg time per block (ms),0.1787,0.4042,2.7993"
"CSP proof gen time (ms),0.1669,0.1764,1.3196"
"TPA verification time (ms),0.0337,0.0212,1.3242"
"tag size (bytes),35,35,16"
"Block size (bytes),2024,2024,2024"
"Key generation time (ms),247.43,247.43,3.58"
"Avg time per block (ms),0.2396,0.7863,5.3375"
"CSP proof gen time (ms),0.1394,0.2196,3.9144"
"TPA verification time (ms),0.0125,0.0179,3.4402"
"tag size (bytes),35,35,16"
